# code|package|url|sha256|display_name
arp|influent-language-pack-all_0.1.0_all.deb|https://github.com/JesusQuijada34/danenone/releases/download/language-packs-v0.1.0|bb4d7238a807957cbbc6dc1f05bb99b4e70dcb768dc8064776dcc459804ea9d7|Arapaho
arw|influent-language-pack-all_0.1.0_all.deb|https://github.com/JesusQuijada34/danenone/releases/download/language-packs-v0.1.0|bb4d7238a807957cbbc6dc1f05bb99b4e70dcb768dc8064776dcc459804ea9d7|Arawak
hy|influent-language-pack-all_0.1.0_all.deb|https://github.com/JesusQuijada34/danenone/releases/download/language-packs-v0.1.0|bb4d7238a807957cbbc6dc1f05bb99b4e70dcb768dc8064776dcc459804ea9d7|Armenian
rup|influent-language-pack-all_0.1.0_all.deb|https://github.com/JesusQuijada34/danenone/releases/download/language-packs-v0.1.0|bb4d7238a807957cbbc6dc1f05bb99b4e70dcb768dc8064776dcc459804ea9d7|Aromanian
frp|influent-language-pack-all_0.1.0_all.deb|https://github.com/JesusQuijada34/danenone/releases/download/language-packs-v0.1.0|bb4d7238a807957cbbc6dc1f05bb99b4e70dcb768dc8064776dcc459804ea9d7|Arpitan
as|influent-language-pack-all_0.1.0_all.deb|https://github.com/JesusQuijada34/danenone/releases/download/language-packs-v0.1.0|bb4d7238a807957cbbc6dc1f05bb99b4e70dcb768dc8064776dcc459804ea9d7|Assamese
ast|influent-language-pack-all_0.1.0_all.deb|https://github.com/JesusQuijada34/danenone/releases/download/language-packs-v0.1.0|bb4d7238a807957cbbc6dc1f05bb99b4e70dcb768dc8064776dcc459804ea9d7|Asturian
asa|influent-language-pack-all_0.1.0_all.deb|https://github.com/JesusQuijada34/danenone/releases/download/language-packs-v0.1.0|bb4d7238a807957cbbc6dc1f05bb99b4e70dcb768dc8064776dcc459804ea9d7|Asu
atj|influent-language-pack-all_0.1.0_all.deb|https://github.com/JesusQuijada34/danenone/releases/download/language-packs-v0.1.0|bb4d7238a807957cbbc6dc1f05bb99b4e70dcb768dc8064776dcc459804ea9d7|Atikamekw
cch|influent-language-pack-all_0.1.0_all.deb|https://github.com/JesusQuijada34/danenone/releases/download/language-packs-v0.1.0|bb4d7238a807957cbbc6dc1f05bb99b4e70dcb768dc8064776dcc459804ea9d7|Atsam
av|influent-language-pack-all_0.1.0_all.deb|https://github.com/JesusQuijada34/danenone/releases/download/language-packs-v0.1.0|bb4d7238a807957cbbc6dc1f05bb99b4e70dcb768dc8064776dcc459804ea9d7|Avaric
